	fileName	fileSize	fileType	objectId	analysisId	studyId	analysisState
0	example.vcf.gz	52	VCF	4b042c8e-d201-5fe4-94d2-eba50f101d34	119ce504-5244-496f-9ce5-045244596f23	TEST-CA	UNPUBLISHED
1	example.vcf.gz.idx	25	IDX	64ed74d1-49e9-5a9b-a1ce-aaddecca89ca	119ce504-5244-496f-9ce5-045244596f23	TEST-CA	UNPUBLISHED
2	example.vcf.gz	52	VCF	4b509876-3f0d-57ae-b097-50d892bf268e	11d1cf85-4d3d-4aea-91cf-854d3deaea1d	TEST-CA	UNPUBLISHED
3	example.vcf.gz.idx	25	IDX	2b8500d1-c9ce-5146-b1e6-5b3e318b3851	11d1cf85-4d3d-4aea-91cf-854d3deaea1d	TEST-CA	UNPUBLISHED
4	filerob_small.xml	908	XML	6581ef1c-f7bd-54b9-83c3-9984660e1bdc	153b276e-3461-4910-bb27-6e3461a9109a	TEST-CA	UNPUBLISHED
5	example.vcf.gz	52	VCF	d235d10d-c686-5638-9d9f-1da787bb7db2	3aeb5328-81d5-4e02-ab53-2881d52e02d0	TEST-CA	UNPUBLISHED
6	example.vcf.gz.idx	25	IDX	5b62766e-9d71-570e-820a-f8e03439891d	3aeb5328-81d5-4e02-ab53-2881d52e02d0	TEST-CA	UNPUBLISHED
7	example.vcf.gz	52	VCF	9ebce3cc-ad9d-5edb-a540-3624a8a5da3c	87938e5f-f283-4798-938e-5ff28357986b	TEST-CA	UNPUBLISHED
8	example.vcf.gz.idx	25	IDX	1cd6f960-d704-5b22-8da9-a9e5a6bc9f44	87938e5f-f283-4798-938e-5ff28357986b	TEST-CA	UNPUBLISHED
9	example.vcf.gz	52	VCF	21c14b54-074f-51c2-b79d-09729ac0f6b6	87a0f97f-ecf0-43c1-a0f9-7fecf033c12f	TEST-CA	UNPUBLISHED
10	example.vcf.gz.idx	25	IDX	947ef966-dc18-5e6b-b8c7-ca2b97375dd5	87a0f97f-ecf0-43c1-a0f9-7fecf033c12f	TEST-CA	UNPUBLISHED
11	filerob.vcf.gz	697932000000	VCF	ae7b8204-6d9c-594f-948a-927adb7af764	b537f174-f14c-4064-b7f1-74f14c506420	TEST-CA	UNPUBLISHED
12	filerob.xml	697932000000	XML	7325c6e8-e4d3-56ce-80b3-c695e2a2bb47	c3aba4c6-d363-48c2-aba4-c6d363c8c248	TEST-CA	UNPUBLISHED
13	example.vcf.gz	52	VCF	0c8545be-5201-585d-9a2e-40e9360edaf0	c487adfd-1683-4495-87ad-fd1683c4952f	TEST-CA	UNPUBLISHED
14	example.vcf.gz.idx	25	IDX	19cca746-7eda-593d-be17-58637c869d68	c487adfd-1683-4495-87ad-fd1683c4952f	TEST-CA	UNPUBLISHED
15	example.vcf.gz	84245094	VCF	1c9e4395-677c-55c1-8437-b6467c806173	d65d0ad3-c20a-4ac5-9d0a-d3c20a1ac5d2	TEST-CA	UNPUBLISHED
16	example.vcf.gz	52	VCF	d0df17fe-1153-5549-aeeb-d9b5a6d994fa	da0751cc-01e3-4218-8751-cc01e3b21812	TEST-CA	UNPUBLISHED
17	example.vcf.gz.idx	25	IDX	ab93b471-9778-58ef-b0fa-e150e3ee5497	da0751cc-01e3-4218-8751-cc01e3b21812	TEST-CA	UNPUBLISHED
18	example.vcf.gz	52	VCF	807ec259-5e6d-518b-ae87-abfd77c82f22	f5ac7447-ea0d-46be-ac74-47ea0d66bea1	TEST-CA	UNPUBLISHED
19	example.vcf.gz.idx	25	IDX	a1bc0ac6-f54b-5cee-a600-ac1f3583e4de	f5ac7447-ea0d-46be-ac74-47ea0d66bea1	TEST-CA	UNPUBLISHED
20	example.vcf.gz	52	VCF	7ff0963f-a4c3-53d4-bb10-2c7da185e4a9	600cff3b-d2d2-433f-8cff-3bd2d2233f50	TEST-CA	SUPPRESSED
21	example.vcf.gz.idx	25	IDX	832d4d0c-5156-5bc9-96cf-583e004f0f4f	600cff3b-d2d2-433f-8cff-3bd2d2233f50	TEST-CA	SUPPRESSED
22	example.vcf.gz	52	VCF	b8503c3b-c925-5c99-a243-2b785f9e8b93	cbe8cd1c-deb6-4e6b-a8cd-1cdeb6fe6bc5	TEST-CA	SUPPRESSED
23	example.vcf.gz.idx	25	IDX	745cbf83-0273-5696-a827-0e587b9c803a	cbe8cd1c-deb6-4e6b-a8cd-1cdeb6fe6bc5	TEST-CA	SUPPRESSED
24	example.vcf.gz	52	VCF	ac4afe98-ca43-5b39-8570-4c5570d37d9b	e405ef46-b794-40f0-85ef-46b79400f0a5	TEST-CA	SUPPRESSED
25	example.vcf.gz.idx	25	IDX	573d3d3d-02a2-577f-9724-3255a4c4fc85	e405ef46-b794-40f0-85ef-46b79400f0a5	TEST-CA	SUPPRESSED
26	example.vcf.gz	52	VCF	70eef992-1b5a-5a89-88a5-d10262d7c1cc	ee95307d-4788-475f-9530-7d4788e75fe3	TEST-CA	SUPPRESSED
27	example.vcf.gz.idx	25	IDX	3c6219e2-1960-5298-a902-a97174e2816d	ee95307d-4788-475f-9530-7d4788e75fe3	TEST-CA	SUPPRESSED
28	SA610228.67.20200319.wxs.grch38.cram	1981110	CRAM	32425cad-f9d7-5dfc-8869-4ebf374e9307	0141d2a2-6f39-4fc6-81d2-a26f39efc6ca	TEST-PR	UNPUBLISHED
